,X,Y,Z
1096,163.516,44.88,
1097,163.676,44.8,
1098,166.148,44.8,
1099,166.267,44.839,
1100,166.348,44.999,
1101,166.353,46.322,
1102,166.346,47.501,
1103,166.306,47.62,
1104,166.146,47.7,
1105,163.68,47.7,
1106,163.561,47.661,
1107,163.48,47.501,
1108,163.471,45.883,
1109,163.476,44.999,
1110,,,
1111,163.011,44.997,
1112,161.351,55.476,
1113,,,
1114,162.092,55.272,
1115,162.851,55.147,
1116,163.68,55.1,
1117,166.146,55.1,
1118,166.914,55.14,
1119,167.674,55.259,
1120,168.417,55.457,
1121,169.136,55.731,
1122,169.822,56.078,
1123,170.469,56.494,
1124,171.069,56.975,
1125,171.616,57.516,
1126,172.104,58.111,
1127,172.527,58.753,
1128,172.882,59.436,
1129,173.163,60.151,
1130,173.369,60.893,
1131,173.497,61.651,
1132,173.546,62.48,
1133,173.566,69.932,
1134,173.56,71.898,
1135,173.567,74.103,
1136,173.566,81.513,
1137,173.544,82.65,
1138,173.489,83.417,
1139,173.354,84.174,
1140,173.141,84.913,
1141,172.853,85.626,
1142,172.492,86.306,
1143,172.063,86.944,
1144,171.57,87.534,
1145,171.018,88.07,
1146,170.414,88.546,
1147,169.763,88.956,
1148,169.073,89.296,
1149,168.352,89.564,
1150,167.607,89.754,
1151,166.846,89.867,
1152,166.146,89.9,
1153,163.68,89.9,
1154,162.912,89.86,
1155,162.152,89.741,
1156,161.409,89.543,
1157,160.69,89.269,
1158,160.004,88.922,
1159,159.357,88.506,
1160,158.757,88.025,
1161,158.21,87.484,
1162,157.722,86.889,
1163,157.299,86.247,
1164,156.944,85.564,
1165,156.663,84.849,
1166,156.457,84.107,
1167,156.329,83.349,
1168,156.281,82.643,
1169,156.266,81.868,
1170,156.265,75.893,
1171,156.274,71.858,
1172,156.264,68.296,
1173,156.28,62.48,
1174,156.322,61.712,
1175,156.444,60.952,
1176,156.643,60.209,
1177,156.919,59.491,
1178,157.268,58.806,
1179,157.686,58.16,
1180,158.169,57.562,
1181,158.711,57.016,
1182,159.307,56.53,
1183,159.951,56.108,
1184,160.634,55.756,
1185,161.351,55.476,
1186,161.006,56.031,
1187,161.712,55.782,
1188,162.44,55.611,
1189,163.182,55.518,
1190,163.68,55.5,
1191,166.146,55.5,
1192,166.893,55.54,
1193,167.631,55.659,
1194,168.353,55.857,
1195,169.049,56.13,
1196,169.712,56.477,
1197,170.335,56.892,
1198,170.909,57.371,
1199,171.43,57.908,
1200,171.889,58.498,
1201,172.284,59.134,
1202,172.608,59.808,
1203,172.858,60.513,
1204,173.032,61.241,
1205,173.127,61.983,
1206,173.146,62.481,
1207,173.166,69.93,
1208,173.16,71.896,
1209,173.167,74.103,
1210,173.165,81.654,
